eventId,period,time,away_team,home_team,home_team_side,eventType,eventOwnerTeamId,losingPlayerId,winningPlayerId,xCoord,yCoord,zoneCode,hittingPlayerId,hitteePlayerId,blockingPlayerId,shootingPlayerId,reason,playerId,shotType,goalieInNetId,awaySOG,homeSOG,secondaryReason,typeCode,descKey,duration,committedByPlayerId,drawnByPlayerId,scoringPlayerId,scoringPlayerTotal,assist1PlayerId,assist1PlayerTotal,awayScore,homeScore,discreteClip,assist2PlayerId,assist2PlayerTotal,servedByPlayerId
92,1,11:42,FLA,VGK,right,faceoff,54.0,8477493.0,8476448.0,69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1,12:01,FLA,VGK,right,hit,54.0,,,-24.0,-39.0,N,8475188.0,8477935.0,,,,,,,,,,,,,,,,,,,,,,,,
93,1,12:35,FLA,VGK,right,missed-shot,13.0,,,45.0,22.0,O,,,,8479314.0,goalpost,,slap,8478499.0,,,,,,,,,,,,,,,,,,
94,1,12:41,FLA,VGK,right,missed-shot,13.0,,,58.0,-24.0,O,,,,8477935.0,wide-of-net,,snap,8478499.0,,,,,,,,,,,,,,,,,,
208,1,12:46,FLA,VGK,right,giveaway,13.0,,,79.0,24.0,O,,,,,,8479314.0,,,,,,,,,,,,,,,,,,,,
95,1,13:09,FLA,VGK,right,blocked-shot,13.0,,,65.0,-14.0,D,,,8479980.0,8477932.0,,,,,,,,,,,,,,,,,,,,,,
96,1,13:29,FLA,VGK,right,blocked-shot,13.0,,,82.0,-12.0,D,,,8480727.0,8478055.0,,,,,,,,,,,,,,,,,,,,,,
97,1,13:44,FLA,VGK,right,blocked-shot,13.0,,,72.0,11.0,D,,,8480727.0,8477409.0,,,,,,,,,,,,,,,,,,,,,,
209,1,13:46,FLA,VGK,right,stoppage,,,,,,,,,,,puck-in-netting,,,,,,,,,,,,,,,,,,,,,
98,1,13:46,FLA,VGK,right,faceoff,54.0,8478400.0,8478403.0,69.0,22.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,
211,1,14:13,FLA,VGK,right,takeaway,54.0,,,22.0,31.0,N,,,,,,8474565.0,,,,,,,,,,,,,,,,,,,,
99,1,14:16,FLA,VGK,right,shot-on-goal,13.0,,,56.0,22.0,O,,,,8477986.0,,,wrist,8478499.0,7.0,3.0,,,,,,,,,,,,,,,,
100,1,14:23,FLA,VGK,right,missed-shot,13.0,,,73.0,19.0,O,,,,8479066.0,wide-of-net,,snap,8478499.0,,,,,,,,,,,,,,,,,,
351,1,15:07,FLA,VGK,right,missed-shot,54.0,,,-41.0,-3.0,O,,,,8477447.0,wide-of-net,,wrist,8475683.0,,,,,,,,,,,,,,,,,,
